Origine;Arrivee;weight
13001;13041;109
13001;13201;135
13001;13205;148
13001;13208;118
13001;13209;121
13001;13213;181
13002;13001;132
13002;13201;113
13002;13206;138
13002;13208;158
13002;13211;313
13002;13212;151
13002;13213;527
13003;13053;108
13003;13103;138
13004;13001;230
13004;13078;173
13004;13097;145
13005;13001;481
13005;13028;257
13005;13042;101
13005;13119;115
13005;13205;106
13005;13208;116
13005;13209;137
13005;13210;108
13005;13211;208
13005;13212;144
13005;13213;128
13007;13001;131
13007;13005;365
13014;13001;199
13014;13117;355
13015;13001;109
13016;13001;128
13016;13005;163
13016;13086;292
13018;13089;154
13019;13001;717
13020;13046;104
13022;13028;112
13023;13028;366
13024;13050;120
13025;13001;192
13026;13001;152
13026;13043;117
13026;13054;162
13026;13056;302
13028;13001;231
13028;13005;152
13030;13005;115
13030;13042;245
13031;13005;110
13032;13001;895
13033;13043;250
13033;13054;152
13035;13103;261
13036;13100;159
13037;13001;161
13037;13103;239
13038;13004;187
13039;13047;422
13039;13056;217
13039;13077;137
13040;13001;400
13040;13041;252
13041;13001;738
13043;13001;112
13043;13054;390
13044;13103;475
13045;13083;118
13045;13108;128
13046;13001;124
13046;13041;188
13047;13001;232
13047;13056;344
13047;13063;220
13047;13077;102
13047;13103;161
13048;13001;284
13048;13074;154
13049;13103;110
13050;13001;339
13050;13103;223
13051;13001;195
13051;13037;135
13051;13103;745
13052;13100;116
13053;13103;297
13054;13001;388
13054;13043;317
13054;13102;316
13054;13117;312
13056;13001;326
13056;13047;147
13056;13077;309
13056;13104;206
13059;13001;303
13059;13074;100
13060;13001;352
13060;13040;210
13060;13041;156
13062;13001;121
13062;13041;221
13063;13001;260
13063;13047;161
13063;13103;216
13064;13089;119
13065;13004;100
13065;13097;105
13066;13027;185
13068;13097;117
13069;13001;178
13069;13103;449
13070;13005;213
13070;13211;174
13071;13001;302
13071;13043;112
13071;13054;122
13071;13117;520
13072;13001;112
13072;13087;158
13073;13046;196
13074;13001;385
13075;13213;377
13076;13067;135
13077;13056;525
13078;13004;200
13079;13001;119
13079;13087;109
13080;13001;409
13081;13001;243
13081;13117;367
13082;13001;322
13084;13001;251
13084;13080;251
13085;13022;155
13085;13028;110
13086;13005;283
13087;13001;251
13088;13054;244
13091;13001;402
13091;13082;193
13092;13063;197
13092;13103;157
13094;13108;115
13095;13001;218
13097;13004;412
13098;13047;382
13098;13056;120
13101;13046;139
13102;13054;130
13102;13117;185
13103;13001;705
13103;13069;128
13104;13056;157
13105;13067;328
13105;13103;257
13106;13001;272
13106;13071;135
13107;13001;183
13108;13004;228
13109;13001;294
13110;13001;566
13111;13001;113
13112;13001;325
13112;13117;165
13113;13001;843
13114;13001;486
13114;13112;189
13117;13001;663
13117;13043;160
13117;13054;233
13117;13071;107
13118;13001;210
13118;13037;140
13119;13022;173
13119;13028;138
13201;13001;499
13201;13202;140
13201;13203;145
13201;13204;229
13201;13205;344
13201;13206;224
13201;13209;113
13201;13213;293
13202;13001;152
13202;13201;312
13202;13203;116
13202;13206;189
13202;13213;115
13203;13001;332
13203;13105;314
13203;13201;300
13203;13202;278
13203;13204;176
13203;13205;141
13203;13206;194
13203;13209;124
13203;13213;159
13203;13214;115
13203;13215;168
13204;13001;315
13204;13201;546
13204;13203;113
13204;13205;562
13204;13206;291
13204;13208;165
13204;13209;127
13204;13212;377
13204;13213;281
13205;13001;397
13205;13201;519
13205;13204;227
13205;13206;512
13205;13207;101
13205;13208;156
13205;13209;250
13205;13210;179
13205;13213;212
13206;13001;481
13206;13201;515
13206;13205;513
13206;13207;162
13206;13208;422
13206;13209;632
13206;13210;125
13206;13213;236
13207;13001;281
13207;13201;141
13207;13205;245
13207;13206;410
13207;13208;399
13207;13209;147
13208;13001;531
13208;13201;373
13208;13205;442
13208;13206;837
13208;13207;183
13208;13209;107
13208;13210;158
13208;13213;205
13209;13001;387
13209;13201;255
13209;13205;253
13209;13206;498
13209;13207;103
13209;13208;170
13209;13210;280
13209;13213;219
13210;13001;366
13210;13201;235
13210;13205;673
13210;13206;432
13210;13208;398
13210;13209;871
13210;13211;102
13210;13213;174
13211;13001;403
13211;13005;245
13211;13201;158
13211;13205;275
13211;13206;164
13211;13208;208
13211;13209;228
13211;13210;597
13211;13212;516
13211;13213;302
13212;13001;366
13212;13201;254
13212;13204;537
13212;13205;496
13212;13206;228
13212;13208;112
13212;13209;123
13212;13210;184
13212;13211;241
13212;13213;477
13213;13001;483
13213;13002;233
13213;13075;231
13213;13103;244
13213;13201;333
13213;13203;133
13213;13204;435
13213;13205;342
13213;13206;362
13213;13208;246
13213;13209;104
13213;13210;147
13213;13211;209
13213;13212;617
13213;13214;229
13213;13215;125
13214;13001;329
13214;13201;268
13214;13203;238
13214;13204;127
13214;13205;109
13214;13206;134
13214;13209;124
13214;13210;221
13214;13212;119
13214;13213;605
13214;13215;274
13215;13001;652
13215;13071;259
13215;13106;156
13215;13117;133
13215;13201;167
13215;13206;117
13215;13213;212
13215;13214;274
13215;13216;128
13216;13001;117
13216;13071;107
13216;13215;397
